Author,Title,Copyright_Year,
33RD CONGRESSqq 1ST SESSION,REPORT OF THE COMMISSIONER OF PATENTS FOR THE YEAR OF 1853,1854,ROZIER LIBRARY
34TH CONGRESSqq 1ST SESSION,NO TITLE PAGE,1856,ROZIER LIBRARY
34TH CONGRESSqq 3RD SESSION,REPORT OF THE COMMISSIONER OF PATENTS FOR THE YEAR OF 1856,1857,ROZIER LIBRARY
35TH CONGRESSqq 2ND SESSION,REPORT OF THE COMMISSIONER OF PATENTS FOR THE YEAR 1858,1859,ROZIER LIBRARY
A MEMBER OF THE ORDER OF THE HOLY CROSS,THE METROPOLITAN 4TH READER,1866,ROZIER LIBRARY
A MEMBER OF THE ORDER OF THE HOLY CROSS,THE BOOK OF ORATORY,1867,ROZIER LIBRARY
A.O. ABBOTT,PRISON LIFE ON THE SOUTH AT....DURING THE YEARS 1864 AND 1865,1865,ROZIER LIBRARY
A.W.YOUNG,AMERICAN STATESMAN,1857,ROZIER LIBRARY
Abbe Alfred Monnin,Life of the Cure D' Ars,1870,Rozier Library
AGNES STRICKLAND,LIVES OF THE QUEENS OF ENGLAND FROM THE NORMAN CONZUEST,1846,ROZIER LIBRARY
AGNES STRICKLAND,LIVES OF THE QUEENS OF ENGLAND FROM THE NORMAN CONQUEST,1849,ROZIER LIBRARY
AGNES STRICKLAND,THE QUEENS OF ENGLAND,1849,ROZIER LIBRARY
AGNES STRICKLAND,LIVES OF THE QUEENS OF ENGLAND FROM THE NORMAN CONQUEST,1849,ROZIER LIBRARY
AGNES STRICKLAND,THE QUEENS OF ENGLAND,1849,ROZIER LIBRARY
ALEXANDER JAMIESONqq LL.D.,A GRAMMER OF RHETORIC,1836,ROZIER LIBRARY
ALEXANDER WALKER,BEAUTY:ILLUSTRATED CHIEFLY BY AN ANALYSIS AND CLASSIFICATION OF BEAUTY IN WOMAN,1851,ROZIER LIBRARY
ALEXIS DE TOCQUEVILLE,DEMOCRACY IN AMERICA,1843,ROZIER LIBRARY
ALEXIS DE TOCQUEVILLE,DEMOCRACY IN AMERICA,1841,ROZIER LIBRARY
ALFRED MONNIN,LIFE OF THE CURE D'ARSqq THE ABBE',1870,ROZIER LIBRARY
ALFRED S. TAYLORqq F.R.S.,MEDICAL JURISPRUDE3NCE,1850,ROZIER LIBRARY
ALONZO REEDqq A.M. AND BRANERD KELLOGqq A.M.,HIGHER LESSONS IN ENGLISH: TO WORK ON ENGLISH GRAMMAR AND COMPOSITION,1882,ROZIER LIBRARY
ANDREW W. YOUNG,SCIENCE OF GOVERNMENT,1848,ROZIER LIBRARY
ARCHIBALD ALISON,HISTORY OF EUROPE,1844,ROZIER LIBRARY
